Date,Year,Pasture,Patch,Pasture_Patch,Pasture_Patch_Year,Pasture_Patch_Year_Transect,Robel.N,Robel.E,Robel.S,Robel.W,WSG,CSG_FEAR,CSG,FEAR,CHEAT,Forbs,Legumes,Woody,Bare,Litter,Litter_dep,Panic,Seed_mix_forbs,Seed_cover_total,Sedges,SDV,TALLEST,LIT_2,LIT_3,Angle_of_O,Violets
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,6,6,4,4,0,.,63,38,.,3,3,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,5,5,5,5,0,.,38,38,.,3,16,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,6,5,5,4,3,.,16,63,.,3,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,5,5,5,5,0,.,38,63,.,3,16,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,6,4,4,0,.,38,38,.,3,0,0,63,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,5,5,4,0,.,16,63,.,3,3,0,38,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,5,4,5,0,.,16,63,.,3,16,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,5,4,4,0,.,16,96,.,0,0,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,5,4,4,0,.,3,96,.,3,3,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,5,4,4,0,.,38,63,.,16,3,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,4,5,4,0,.,16,96,.,3,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,5,3,4,0,.,3,86,.,16,3,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,4,4,3,0,.,38,38,.,3,16,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,5,3,4,3,0,.,16,63,.,3,16,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,4,3,3,0,.,3,63,.,3,16,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,3,3,4,0,.,3,63,.,3,16,0,16,3,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,3,3,3,3,0,.,38,38,.,16,3,0,38,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,3,3,3,3,0,.,3,63,.,3,38,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,3,2,2,2,0,.,38,16,.,16,3,0,3,3,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,1,2,2,1,3,.,3,63,.,16,3,0,0,16,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,1,1,1,2,0,.,63,38,.,16,3,0,3,3,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,1,1,1,1,3,.,16,16,.,16,16,0,0,16,.,.,.,,.,,,,,,.
,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,1,1,1,1,0,.,16,16,.,16,38,0,16,3,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,11,13,11,10,0,.,16,16,.,98,0,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,12,10,12,9,0,.,3,63,.,38,16,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,8,5,21,7,0,.,0,98,.,3,0,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,10,8,11,11,0,.,38,16,.,86,0,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,12,9,12,7,0,.,63,16,.,38,0,0,38,3,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,9,11,7,11,0,.,3,86,.,16,1,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,7,10,8,12,0,.,38,38,.,38,1,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,7,9,9,9,0,.,38,3,.,86,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,4,4,3,21,0,.,63,38,.,3,16,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,10,5,12,5,0,.,63,38,.,38,0,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,8,7,5,9,0,.,3,86,.,16,3,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,8,5,10,0,.,3,86,.,38,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,7,7,7,7,0,.,38,86,.,38,3,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,6,6,5,9,0,.,16,63,.,38,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,6,7,7,6,0,.,16,86,.,3,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,6,6,6,7,0,.,3,98,.,0,3,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,6,6,6,6,0,.,3,86,.,3,0,0,38,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,7,6,6,5,0,.,3,86,.,3,0,0,38,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,9,5,5,5,0,.,38,63,.,16,16,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,5,9,5,0,.,38,63,.,16,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,6,5,7,0,.,86,38,.,3,0,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,3,10,5,5,0,.,16,63,.,38,3,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,4,5,5,8,0,.,16,98,.,16,0,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,5,5,5,0,.,16,86,.,3,0,0,16,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,5,5,5,0,.,38,86,.,3,0,0,3,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,5,5,5,0,.,86,38,.,38,3,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,4,5,5,0,.,16,86,.,3,0,0,38,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,4,4,4,5,0,.,3,86,.,16,16,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,3,5,3,3,0,.,38,63,.,3,16,0,0,0,.,.,.,,.,,,,,,.
,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,3,3,3,5,0,.,86,38,.,3,16,0,0,3,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,9,7,7,7,98,.,3,0,.,0,3,0,63,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,7,7,8,7,98,.,3,0,.,3,0,0,63,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,7,7,7,7,16,.,16,63,.,38,3,0,63,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,7,7,7,7,98,.,0,0,.,3,0,0,63,3,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,6,9,7,86,.,16,16,.,16,16,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,7,6,6,7,16,.,3,63,.,38,38,0,16,3,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,7,5,6,3,.,3,86,.,38,16,0,16,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,6,6,6,98,.,3,3,.,3,0,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,6,6,6,38,.,0,38,.,63,38,0,3,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,6,6,6,86,.,0,0,.,3,0,0,38,3,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,7,5,6,86,.,3,0,.,16,16,0,16,16,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,6,5,6,0,.,16,86,.,38,3,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,7,5,5,63,.,16,63,.,16,3,0,16,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,3,9,5,5,38,.,16,0,.,38,0,0,63,16,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,5,5,6,86,.,3,0,.,16,16,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,5,5,6,38,.,3,16,.,38,38,0,16,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,5,5,6,86,.,3,16,.,16,3,0,63,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,5,5,5,63,.,16,16,.,16,16,0,16,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,5,5,5,86,.,0,0,.,3,3,0,38,16,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,5,5,5,86,.,3,16,.,16,0,0,63,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,5,5,5,38,.,63,0,.,38,0,0,38,3,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,5,5,5,0,.,16,63,.,16,0,0,63,3,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,5,5,5,86,.,3,1,.,16,3,0,38,16,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,4,4,5,38,.,38,3,.,38,38,0,16,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,4,5,5,4,16,.,16,16,.,63,63,0,0,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,4,5,4,5,63,.,3,0,.,38,16,0,38,3,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,4,4,4,63,.,63,16,.,3,0,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,4,4,4,4,0,.,16,63,.,38,16,0,16,3,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,3,4,3,4,86,.,0,3,.,3,0,0,38,16,.,.,.,,.,,,,,,.
,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,3,2,2,2,0,.,63,0,.,0,3,0,63,0,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,8,8,8,9,0,.,3,16,.,98,3,0,0,16,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,8,5,6,9,0,.,0,16,.,16,86,0,0,3,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,9,7,5,6,16,.,0,38,.,63,3,0,3,38,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,6,7,6,7,38,.,0,16,.,63,0,0,0,63,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,6,7,7,5,0,.,0,86,.,16,0,0,3,0,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,9,6,5,5,0,.,3,0,.,38,38,0,0,16,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,6,6,6,7,16,.,3,16,.,38,3,0,3,16,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,5,7,5,6,0,.,16,0,.,16,86,0,0,3,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,7,6,6,3,0,.,0,0,.,16,86,0,0,0,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,6,5,3,7,0,.,0,0,.,38,63,0,0,0,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,5,6,5,5,0,.,3,86,.,3,16,0,3,0,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,4,5,6,6,38,.,3,3,.,38,3,0,3,38,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,5,5,5,6,63,.,0,16,.,16,0,0,3,16,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,5,5,5,6,86,.,0,16,.,16,0,0,3,38,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,5,5,5,5,38,.,16,16,.,3,16,0,3,16,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,4,7,5,4,38,.,16,38,.,3,16,0,16,0,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,4,7,4,5,63,.,16,16,.,38,0,0,3,38,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,3,5,6,5,38,.,0,3,.,16,3,0,16,16,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,5,4,5,5,0,.,16,0,.,16,63,0,0,3,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,3,5,5,6,63,.,3,0,.,16,0,0,0,38,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,4,6,4,5,16,.,16,38,.,16,0,0,0,38,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,5,3,5,5,0,.,3,3,.,16,63,0,0,38,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,4,5,4,5,0,.,16,16,.,16,63,0,3,0,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,5,3,5,4,0,.,0,3,.,16,98,0,0,3,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,4,4,4,4,0,.,3,86,.,3,0,0,0,16,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,3,4,5,3,3,.,3,3,.,38,3,0,3,38,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,3,5,3,3,0,.,3,0,.,16,63,0,0,16,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,3,3,3,4,0,.,98,0,.,0,1,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,3,3,3,3,0,.,0,0,.,16,98,0,0,0,.,.,.,,.,,,,,,.
,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,2,2,2,2,38,.,3,3,.,3,0,0,3,38,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,7,7,7,7,16,.,86,0,.,16,0,0,16,16,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,7,7,7,6,0,.,3,86,.,38,3,0,16,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,7,6,7,7,86,.,3,16,.,16,0,0,63,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,7,6,7,6,86,.,3,0,.,38,3,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,7,6,7,6,86,.,0,0,.,38,3,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,7,7,6,6,86,.,3,3,.,16,3,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,6,6,6,6,16,.,38,3,.,63,38,0,3,3,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,7,5,6,6,0,.,3,86,.,38,3,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,6,6,6,6,63,.,16,16,.,38,3,0,63,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,6,6,6,6,0,.,63,16,.,38,3,0,63,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,6,6,6,6,86,.,0,3,.,16,0,0,63,3,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,5,7,5,6,0,.,38,38,.,38,3,0,38,3,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,5,6,6,5,16,.,16,63,.,16,38,0,16,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,5,6,5,5,86,.,3,0,.,16,0,0,63,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,6,5,5,5,86,.,3,0,.,3,0,0,38,38,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,5,5,5,5,0,.,16,86,.,16,0,0,16,3,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,5,5,5,5,86,.,3,3,.,16,16,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,5,5,5,5,0,.,0,98,.,3,0,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,5,5,5,5,98,.,0,0,.,16,0,0,38,3,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,5,5,5,5,86,.,3,16,.,3,38,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,5,5,5,5,0,.,16,63,.,0,63,0,0,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,5,5,5,5,0,.,16,38,.,3,63,0,0,38,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,5,5,5,5,86,.,0,3,.,3,3,0,38,0,.,.,.,,.,,,,,,.
,2007,KLN,W,KLN_W,KLN_W_2007,KLN_W_2007,4,4,5,4,16,.,38,63,.,38,3,0,16,3,.,.,.,,.,,,,,,.
