date,year,pasture,patch,pasture_patch,pasture_patch_year,pasture_patch_year_transect,robel_n,robel_e,robel_s,robel_w,wsg,csg_fear,csg,fear,cheat,forbs,legumes,woody,bare,litter,litter_dep,panic,seed_mix_forbs,seed_cover_total,sedges,sdv,tallest,lit_2,lit_3,angle_of_o,violets,avg_robel,sd_robel
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,5,4,5,4,1,NA,16,86,NA,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.7071067811865476
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,4,5,5,0,NA,16,63,NA,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,4,4,4,0,NA,16,86,NA,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,4,4,4,0,NA,63,63,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,4,4,4,4,0,NA,3,86,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,3,3,3,5,0,NA,16,38,NA,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0
NA,2007,GIL,C,GIL_C,GIL_C_2007,GIL_C_2007,3,3,3,3,0,NA,38,16,NA,16,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,7,10,6,6,0,NA,3,86,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,2.1213203435596424
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,7,7,7,7,0,NA,16,96,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,6,9,6,7,0,NA,16,63,NA,38,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.1213203435596424
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,7,7,7,7,0,NA,38,38,NA,38,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,5,6,5,5,0,NA,16,86,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,0.7071067811865476
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,6,5,5,5,0,NA,38,38,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,0.7071067811865476
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,5,5,5,6,0,NA,3,96,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,6,6,4,4,0,NA,63,38,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,5,5,5,5,0,NA,38,38,NA,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,6,5,5,4,3,NA,16,63,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.7071067811865476
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,5,5,5,5,0,NA,38,63,NA,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,6,4,4,0,NA,38,38,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,1.4142135623730951
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,5,5,4,0,NA,16,63,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.7071067811865476
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,5,4,5,0,NA,16,63,NA,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.7071067811865476
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,5,4,4,0,NA,16,96,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,0.7071067811865476
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,5,4,4,0,NA,3,96,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,0.7071067811865476
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,5,4,4,0,NA,38,63,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,0.7071067811865476
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,4,5,4,0,NA,16,96,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,5,3,4,0,NA,3,86,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.7071067811865476
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,4,4,3,0,NA,38,38,NA,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,5,3,4,3,0,NA,16,63,NA,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.4142135623730951
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,4,3,3,0,NA,3,63,NA,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,4,3,3,4,0,NA,3,63,NA,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0.7071067811865476
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,3,3,3,3,0,NA,38,38,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,3,3,3,3,0,NA,3,63,NA,3,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,3,2,2,2,0,NA,38,16,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.7071067811865476
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,1,2,2,1,3,NA,3,63,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.7071067811865476
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,1,1,1,2,0,NA,63,38,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,1,1,1,1,3,NA,16,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
NA,2007,GIL,N,GIL_N,GIL_N_2007,GIL_N_2007,1,1,1,1,0,NA,16,16,NA,16,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,11,13,11,10,0,NA,16,16,NA,98,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.25,1.4142135623730951
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,12,10,12,9,0,NA,3,63,NA,38,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75,1.4142135623730951
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,8,5,21,7,0,NA,0,98,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.25,2.1213203435596424
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,10,8,11,11,0,NA,38,16,NA,86,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1.4142135623730951
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,12,9,12,7,0,NA,63,16,NA,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2.1213203435596424
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,9,11,7,11,0,NA,3,86,NA,16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,1.4142135623730951
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,7,10,8,12,0,NA,38,38,NA,38,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.25,2.1213203435596424
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,7,9,9,9,0,NA,38,3,NA,86,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,1.4142135623730951
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,4,4,3,21,0,NA,63,38,NA,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,10,5,12,5,0,NA,63,38,NA,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3.5355339059327378
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,8,7,5,9,0,NA,3,86,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,0.7071067811865476
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,8,5,10,0,NA,3,86,NA,38,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.1213203435596424
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,7,7,7,7,0,NA,38,86,NA,38,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,6,6,5,9,0,NA,16,63,NA,38,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,6,7,7,6,0,NA,16,86,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0.7071067811865476
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,6,6,6,7,0,NA,3,98,NA,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,0
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,6,6,6,6,0,NA,3,86,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,7,6,6,5,0,NA,3,86,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.7071067811865476
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,9,5,5,5,0,NA,38,63,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2.8284271247461903
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,5,9,5,0,NA,38,63,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,6,5,7,0,NA,86,38,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,0.7071067811865476
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,3,10,5,5,0,NA,16,63,NA,38,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,4.949747468305833
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,4,5,5,8,0,NA,16,98,NA,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,0.7071067811865476
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,5,5,5,0,NA,16,86,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,5,5,5,0,NA,38,86,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,5,5,5,0,NA,86,38,NA,38,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,5,4,5,5,0,NA,16,86,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,0.7071067811865476
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,4,4,4,5,0,NA,3,86,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,0
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,3,5,3,3,0,NA,38,63,NA,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1.4142135623730951
NA,2007,GIL,S,GIL_S,GIL_S_2007,GIL_S_2007,3,3,3,5,0,NA,86,38,NA,3,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,9,7,7,7,98,NA,3,0,NA,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1.4142135623730951
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,7,7,8,7,98,NA,3,0,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,7,7,7,7,16,NA,16,63,NA,38,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,7,7,7,7,98,NA,0,0,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,6,9,7,86,NA,16,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,7,6,6,7,16,NA,3,63,NA,38,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0.7071067811865476
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,7,5,6,3,NA,3,86,NA,38,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.7071067811865476
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,6,6,6,98,NA,3,3,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,6,6,6,38,NA,0,38,NA,63,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,6,6,6,86,NA,0,0,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,7,5,6,86,NA,3,0,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.7071067811865476
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,6,5,6,0,NA,16,86,NA,38,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,7,5,5,63,NA,16,63,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,1.4142135623730951
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,3,9,5,5,38,NA,16,0,NA,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,4.242640687119285
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,5,5,6,86,NA,3,0,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,0.7071067811865476
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,5,5,6,38,NA,3,16,NA,38,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,5,5,6,86,NA,3,16,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,5,5,5,63,NA,16,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,0.7071067811865476
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,5,5,5,86,NA,0,0,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,0.7071067811865476
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,5,5,5,86,NA,3,16,NA,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,5,5,5,38,NA,63,0,NA,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,5,5,5,0,NA,16,63,NA,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,5,5,5,86,NA,3,1,NA,16,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,6,4,4,5,38,NA,38,3,NA,38,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,1.4142135623730951
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,4,5,5,4,16,NA,16,16,NA,63,63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.7071067811865476
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,4,5,4,5,63,NA,3,0,NA,38,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.7071067811865476
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,5,4,4,4,63,NA,63,16,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,0.7071067811865476
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,4,4,4,4,0,NA,16,63,NA,38,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,3,4,3,4,86,NA,0,3,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0.7071067811865476
NA,2007,KLN,C,KLN_C,KLN_C_2007,KLN_C_2007,3,2,2,2,0,NA,63,0,NA,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.7071067811865476
NA,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,8,8,8,9,0,NA,3,16,NA,98,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,0
NA,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,8,5,6,9,0,NA,0,16,NA,16,86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.1213203435596424
NA,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,9,7,5,6,16,NA,0,38,NA,63,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,1.4142135623730951
NA,2007,KLN,E,KLN_E,KLN_E_2007,KLN_E_2007,6,7,6,7,38,NA,0,16,NA,63,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0.7071067811865476
